sort_method,input_file,N,task_threshold,omp_num_threads,repetitions,mean_time,std_deviation,individual_times
bitonic_parallel,in_4.in,4,1024,40,5,0.001685,0.000248,"[0.001631, 0.001718, 0.001465, 0.001518, 0.002092]"
bitonic_parallel,in_4.in,4,2048,40,5,0.001686,0.000276,"[0.002147, 0.001741, 0.001485, 0.001543, 0.001515]"
bitonic_parallel,in_4.in,4,4096,40,5,0.002012,0.001049,"[0.001642, 0.003883, 0.001439, 0.001502, 0.001595]"
bitonic_parallel,in_8.in,8,1024,1,5,0.000021,0.000003,"[1.7e-05, 2.3e-05, 1.7e-05, 2.3e-05, 2.3e-05]"
bitonic_parallel,in_8.in,8,2048,1,5,0.000013,0.000005,"[8e-06, 8e-06, 1.7e-05, 1.7e-05, 1.7e-05]"
bitonic_parallel,in_8.in,8,4096,1,5,0.000011,0.000005,"[7e-06, 1.7e-05, 7e-06, 8e-06, 1.7e-05]"
bitonic_parallel,in_8.in,8,1024,2,5,0.000092,0.000023,"[7.9e-05, 0.000132, 7.8e-05, 8.5e-05, 8.5e-05]"
bitonic_parallel,in_8.in,8,2048,2,5,0.000117,0.000034,"[0.000134, 0.000124, 7.9e-05, 8.6e-05, 0.000161]"
bitonic_parallel,in_8.in,8,4096,2,5,0.000157,0.000045,"[0.000161, 8e-05, 0.000171, 0.000182, 0.000191]"
bitonic_parallel,in_8.in,8,1024,5,5,0.000278,0.000076,"[0.000294, 0.000358, 0.000238, 0.000168, 0.000333]"
bitonic_parallel,in_8.in,8,2048,5,5,0.000232,0.000076,"[0.000173, 0.000296, 0.000178, 0.000332, 0.000182]"
bitonic_parallel,in_8.in,8,4096,5,5,0.000199,0.000016,"[0.000204, 0.000198, 0.000223, 0.000181, 0.00019]"
bitonic_parallel,in_8.in,8,1024,10,5,0.000454,0.000082,"[0.000508, 0.000352, 0.000458, 0.000396, 0.000556]"
bitonic_parallel,in_8.in,8,2048,10,5,0.000566,0.000254,"[0.000392, 0.000718, 0.000397, 0.000942, 0.00038]"
bitonic_parallel,in_8.in,8,4096,10,5,0.000481,0.000076,"[0.000572, 0.000436, 0.000467, 0.000387, 0.000544]"
