sort_method,input_file,N,task_threshold,omp_num_threads,repetitions,mean_time,std_deviation,individual_times
bitonic_parallel,in_16.in,16,4096,1,5,0.000015,0.000006,"[2.6e-05, 1.3e-05, 1.2e-05, 1.4e-05, 1.1e-05]"
bitonic_parallel,in_16.in,16,1024,2,5,0.000092,0.000032,"[7.8e-05, 7.9e-05, 7.7e-05, 0.000149, 7.9e-05]"
bitonic_parallel,in_16.in,16,2048,2,5,0.000108,0.000045,"[7.3e-05, 0.000162, 0.000152, 7.6e-05, 7.9e-05]"
bitonic_parallel,in_16.in,16,4096,2,5,0.000088,0.000032,"[7e-05, 7.4e-05, 7.7e-05, 7.3e-05, 0.000145]"
bitonic_parallel,in_16.in,16,1024,5,5,0.000276,0.000069,"[0.00035, 0.00023, 0.000222, 0.000354, 0.000225]"
bitonic_parallel,in_16.in,16,2048,5,5,0.000275,0.000061,"[0.000365, 0.000312, 0.00023, 0.000236, 0.000232]"
bitonic_parallel,in_16.in,16,4096,5,5,0.000268,0.000086,"[0.000422, 0.000229, 0.00023, 0.000229, 0.000228]"
bitonic_parallel,in_16.in,16,1024,10,5,0.000490,0.000079,"[0.000425, 0.000578, 0.000573, 0.000424, 0.00045]"
bitonic_parallel,in_16.in,16,2048,10,5,0.000477,0.000064,"[0.00048, 0.000431, 0.000437, 0.000452, 0.000586]"
bitonic_parallel,in_16.in,16,4096,10,5,0.000496,0.000075,"[0.000433, 0.000589, 0.000565, 0.00044, 0.000452]"
bitonic_parallel,in_16.in,16,1024,20,5,0.001377,0.000552,"[0.000877, 0.002157, 0.000882, 0.001697, 0.001272]"
bitonic_parallel,in_16.in,16,2048,20,5,0.000975,0.000124,"[0.001161, 0.000875, 0.001045, 0.0009, 0.000896]"
bitonic_parallel,in_16.in,16,4096,20,5,0.000983,0.000178,"[0.00092, 0.001301, 0.000888, 0.000913, 0.000894]"
bitonic_parallel,in_16.in,16,1024,40,5,0.001975,0.000088,"[0.002122, 0.001987, 0.001934, 0.001935, 0.001896]"
bitonic_parallel,in_16.in,16,2048,40,5,0.001969,0.000093,"[0.001935, 0.002127, 0.001908, 0.001972, 0.001902]"
bitonic_parallel,in_16.in,16,4096,40,5,0.002144,0.000187,"[0.002275, 0.001915, 0.002022, 0.002379, 0.002131]"
bitonic_parallel,in_32.in,32,1024,1,5,0.000029,0.000020,"[1.9e-05, 2.1e-05, 2e-05, 2e-05, 6.5e-05]"
bitonic_parallel,in_32.in,32,2048,1,5,0.000033,0.000015,"[1.8e-05, 1.9e-05, 4.6e-05, 3.1e-05, 5.1e-05]"
bitonic_parallel,in_32.in,32,4096,1,5,0.000034,0.000014,"[4.5e-05, 2e-05, 1.9e-05, 4.5e-05, 4.3e-05]"
bitonic_parallel,in_32.in,32,1024,2,5,0.000107,0.000044,"[0.000185, 7.8e-05, 8.1e-05, 9.4e-05, 9.5e-05]"
bitonic_parallel,in_32.in,32,2048,2,5,0.000087,0.000005,"[8.5e-05, 8.3e-05, 8.3e-05, 8.6e-05, 9.6e-05]"
bitonic_parallel,in_32.in,32,4096,2,5,0.000095,0.000004,"[9.2e-05, 9.6e-05, 0.000101, 9.4e-05, 9.3e-05]"
bitonic_parallel,in_32.in,32,1024,5,5,0.000300,0.000087,"[0.000234, 0.000343, 0.000243, 0.000434, 0.000244]"
bitonic_parallel,in_32.in,32,2048,5,5,0.000246,0.000014,"[0.000241, 0.000249, 0.000231, 0.00024, 0.000269]"
bitonic_parallel,in_32.in,32,4096,5,5,0.000246,0.000006,"[0.000246, 0.000244, 0.000236, 0.00025, 0.000253]"
bitonic_parallel,in_32.in,32,1024,10,5,0.000553,0.000091,"[0.000463, 0.000612, 0.000643, 0.000446, 0.0006]"
bitonic_parallel,in_32.in,32,2048,10,5,0.000486,0.000024,"[0.000492, 0.000486, 0.00052, 0.000454, 0.000479]"
bitonic_parallel,in_32.in,32,4096,10,5,0.000593,0.000269,"[0.001074, 0.000469, 0.000485, 0.000474, 0.000463]"
bitonic_parallel,in_32.in,32,1024,20,5,0.000904,0.000014,"[0.000915, 0.000882, 0.000901, 0.000912, 0.000912]"
bitonic_parallel,in_32.in,32,2048,20,5,0.000937,0.000088,"[0.001092, 0.000878, 0.00092, 0.000899, 0.000894]"
bitonic_parallel,in_32.in,32,4096,20,5,0.001122,0.000356,"[0.001745, 0.000924, 0.000914, 0.001094, 0.000934]"
bitonic_parallel,in_32.in,32,1024,40,5,0.002044,0.000207,"[0.002411, 0.001982, 0.001962, 0.001922, 0.001941]"
bitonic_parallel,in_32.in,32,2048,40,5,0.002033,0.000105,"[0.002196, 0.001978, 0.002009, 0.00192, 0.002062]"
bitonic_parallel,in_32.in,32,4096,40,5,0.001977,0.000010,"[0.001964, 0.00197, 0.001978, 0.00198, 0.001991]"
bitonic_parallel,in_64.in,64,1024,1,5,0.000050,0.000022,"[3.6e-05, 4.9e-05, 3.8e-05, 8.9e-05, 3.9e-05]"
bitonic_parallel,in_64.in,64,2048,1,5,0.000049,0.000021,"[3.5e-05, 8.5e-05, 3.7e-05, 4e-05, 4.6e-05]"
bitonic_parallel,in_64.in,64,4096,1,5,0.000059,0.000028,"[4e-05, 9.3e-05, 8.7e-05, 3.8e-05, 3.8e-05]"
bitonic_parallel,in_64.in,64,1024,2,5,0.000146,0.000055,"[0.000118, 0.000122, 0.000244, 0.000128, 0.000117]"
bitonic_parallel,in_64.in,64,2048,2,5,0.000186,0.000064,"[0.000235, 0.000232, 0.000233, 0.000121, 0.000111]"
bitonic_parallel,in_64.in,64,4096,2,5,0.000171,0.000061,"[0.000233, 0.000229, 0.000107, 0.000174, 0.00011]"
bitonic_parallel,in_64.in,64,1024,5,5,0.000316,0.000127,"[0.000232, 0.00054, 0.000283, 0.000254, 0.000271]"
bitonic_parallel,in_64.in,64,2048,5,5,0.000316,0.000062,"[0.000276, 0.00033, 0.000275, 0.00042, 0.00028]"
bitonic_parallel,in_64.in,64,4096,5,5,0.000309,0.000075,"[0.000443, 0.000278, 0.000264, 0.000279, 0.00028]"
bitonic_parallel,in_64.in,64,1024,10,5,0.000504,0.000042,"[0.000573, 0.000481, 0.000483, 0.00047, 0.000514]"
bitonic_parallel,in_64.in,64,2048,10,5,0.000505,0.000027,"[0.00054, 0.000488, 0.000502, 0.000522, 0.000473]"
bitonic_parallel,in_64.in,64,4096,10,5,0.000512,0.000029,"[0.000484, 0.000529, 0.00053, 0.00054, 0.000479]"
bitonic_parallel,in_64.in,64,1024,20,5,0.000960,0.000055,"[0.001053, 0.000915, 0.000936, 0.000929, 0.000966]"
bitonic_parallel,in_64.in,64,2048,20,5,0.001009,0.000064,"[0.000963, 0.000954, 0.000979, 0.001043, 0.001106]"
bitonic_parallel,in_64.in,64,4096,20,5,0.001179,0.000300,"[0.001515, 0.000959, 0.000964, 0.001502, 0.000957]"
bitonic_parallel,in_64.in,64,1024,40,5,0.001968,0.000026,"[0.002, 0.001945, 0.001993, 0.001956, 0.001948]"
bitonic_parallel,in_64.in,64,2048,40,5,0.001971,0.000059,"[0.00206, 0.001908, 0.001996, 0.001935, 0.001955]"
bitonic_parallel,in_64.in,64,4096,40,5,0.001952,0.000038,"[0.001941, 0.001958, 0.001978, 0.001992, 0.001893]"
bitonic_parallel,in_128.in,128,1024,1,5,0.000093,0.000016,"[8.3e-05, 0.00012, 8.3e-05, 9.6e-05, 8.2e-05]"
bitonic_parallel,in_128.in,128,2048,1,5,0.000137,0.000053,"[0.00011, 7.9e-05, 0.000201, 0.000187, 0.00011]"
bitonic_parallel,in_128.in,128,4096,1,5,0.000082,0.000007,"[7.9e-05, 7.8e-05, 7.8e-05, 9.5e-05, 8.1e-05]"
bitonic_parallel,in_128.in,128,1024,2,5,0.000195,0.000050,"[0.000284, 0.000172, 0.000183, 0.000172, 0.000165]"
bitonic_parallel,in_128.in,128,2048,2,5,0.000275,0.000090,"[0.00035, 0.000168, 0.000339, 0.000331, 0.000186]"
bitonic_parallel,in_128.in,128,4096,2,5,0.000244,0.000068,"[0.000303, 0.000299, 0.000171, 0.000278, 0.00017]"
bitonic_parallel,in_128.in,128,1024,5,5,0.000390,0.000063,"[0.000487, 0.000328, 0.000353, 0.000368, 0.000413]"
bitonic_parallel,in_128.in,128,2048,5,5,0.000441,0.000071,"[0.000471, 0.000444, 0.000321, 0.000461, 0.000506]"
bitonic_parallel,in_128.in,128,4096,5,5,0.000375,0.000065,"[0.000331, 0.000392, 0.000345, 0.000325, 0.00048]"
bitonic_parallel,in_128.in,128,1024,10,5,0.000581,0.000049,"[0.000641, 0.000545, 0.000523, 0.000616, 0.000578]"
bitonic_parallel,in_128.in,128,2048,10,5,0.000573,0.000016,"[0.000579, 0.000594, 0.000558, 0.000576, 0.000556]"
